Tên quẻ,Càn,Đoài,Ly,Chấn,Tốn,Khảm,Cấn ,Khôn
Quẻ tượng,Tam liên,Thượng khuyết,Trung hư,Ngưỡng vu,Hạ đoạn,Trung mãn,Phúc oản,Lục đoạn
Ngũ hành,Kim,Kim,Hỏa,Mộc,Mộc,Thủy,Thổ,Thổ
Tượng,Thiên,Trạch,Hỏa,Lôi,Phong,Thủy,Sơn,Địa
Số,1,2,3,4,5,6,7,8
Phương vị,Tây Bắc,Tây,Nam,Đông,Đông Nam,Bắc,Đông Bắc,Tây Nam
Mùa,thu đông,thu,hạ,xuân,xuân hạ,đông,đông xuân,hạ thu
Động vật,ngựa,dê,trỹ,rồng,gà,heo,chó,trâu
Nhân luân,phụ thân,thiếu nữ,trung nữ,trưởng nam,trưởng nữ,trung nam,thiếu nam,mẫu thân
Cơ thể,đầu,miệng,mắt,chân,đùi,tai,tay ,bụng
Thuộc tính,khỏe,vui,gần gũi,động, nhập vào,trũng xuống,dừng lại,thuận theo
Khí tượng,trời trong,mưa,trời trong,sấm sét,gió,sương mù,mưa,mây
Nội tạng,phổi,đại trường,tim,gan,mật,"thận, bàng",dạ dày,tỳ
Tiết khí,lập đông,thu phân,hạ chí,xuân phân,lập hạ,đông chí,lập xuân,lập thu
,"não, tủy",,,,,,,
,khai 1,kinh 2,cảnh 6,thương 3,đỗ 4,hưu 5,sinh 7,tử 8
